algo_id,run_id,status,objective,items,aisles,exec_time
ils,1,feasible,1058.2857142857142,7408,7,605.187
ils,2,feasible,1058.2857142857142,7408,7,605.879
ils,3,feasible,1058.2857142857142,7408,7,607.424
ils,4,feasible,1058.2857142857142,7408,7,605.233
ils,5,feasible,1058.2857142857142,7408,7,606.435
ils_low_max_iters,1,feasible,1058.2857142857142,7408,7,607.106
ils_low_max_iters,2,feasible,1058.2857142857142,7408,7,606.652
ils_low_max_iters,3,feasible,1058.2857142857142,7408,7,605.344
ils_low_max_iters,4,feasible,1058.2857142857142,7408,7,605.513
ils_low_max_iters,5,feasible,1058.2857142857142,7408,7,605.047
