algo_id,run_id,status,objective,items,aisles,exec_time
ils,1,feasible,70.4,2112,30,600.579
ils,2,feasible,70.64516129032258,2190,31,600.557
ils,3,feasible,70.48275862068965,2044,29,600.462
ils,4,feasible,70.51515151515152,2327,33,600.804
ils,5,feasible,70.4375,2254,32,600.658
ils_low_max_iters,1,feasible,70.37931034482759,2041,29,600.546
ils_low_max_iters,2,feasible,70.59375,2259,32,600.485
ils_low_max_iters,3,feasible,70.59375,2259,32,600.43
ils_low_max_iters,4,feasible,70.61290322580645,2189,31,600.884
ils_low_max_iters,5,feasible,70.5625,2258,32,600.474
