algo_id,run_id,status,objective,items,aisles,exec_time
aisle_first_useful,1,feasible,7.5,45,6,0.104
aisle_first_useful,2,feasible,7.5,45,6,0.098
aisle_first_useful,3,feasible,7.5,45,6,0.066
aisle_first_useful,5,feasible,7.5,45,6,0.077
aisle_first_useful,4,feasible,7.5,45,6,0.064
aisle_first_units,2,feasible,2.2708333333333335,109,48,0.114
aisle_first_units,1,feasible,2.2708333333333335,109,48,0.084
aisle_first_units,5,feasible,2.2708333333333335,109,48,0.085
aisle_first_units,3,feasible,2.2708333333333335,109,48,0.09
aisle_first_units,4,feasible,2.2708333333333335,109,48,0.059
aisle_first_variety,1,feasible,6.0,36,6,0.105
aisle_first_variety,2,feasible,6.0,36,6,0.096
aisle_first_variety,4,feasible,6.0,36,6,0.104
aisle_first_variety,3,feasible,6.0,36,6,0.095
aisle_first_variety,5,feasible,6.0,36,6,0.067
aisle_first_mixed,1,feasible,2.888888888888889,78,27,0.076
aisle_first_mixed,2,feasible,2.888888888888889,78,27,0.113
aisle_first_mixed,3,feasible,2.888888888888889,78,27,0.098
aisle_first_mixed,4,feasible,2.888888888888889,78,27,0.112
aisle_first_mixed,5,feasible,2.888888888888889,78,27,0.104
