algo_id,run_id,status,objective,items,aisles,exec_time
aisle_first_useful,1,feasible,202.0,202,1,0.1
aisle_first_useful,3,feasible,202.0,202,1,0.148
aisle_first_useful,2,feasible,202.0,202,1,0.127
aisle_first_useful,4,feasible,202.0,202,1,0.158
aisle_first_useful,5,feasible,202.0,202,1,0.086
aisle_first_units,3,feasible,202.0,202,1,0.138
aisle_first_units,1,feasible,202.0,202,1,0.126
aisle_first_units,2,feasible,202.0,202,1,0.124
aisle_first_units,4,feasible,202.0,202,1,0.113
aisle_first_units,5,feasible,202.0,202,1,0.137
aisle_first_variety,2,feasible,202.0,202,1,0.101
aisle_first_variety,1,feasible,202.0,202,1,0.182
aisle_first_variety,3,feasible,202.0,202,1,0.099
aisle_first_variety,4,feasible,202.0,202,1,0.131
aisle_first_mixed,1,feasible,202.0,202,1,0.086
aisle_first_variety,5,feasible,202.0,202,1,0.121
aisle_first_mixed,2,feasible,202.0,202,1,0.105
aisle_first_mixed,4,feasible,202.0,202,1,0.079
aisle_first_mixed,5,feasible,202.0,202,1,0.082
aisle_first_mixed,3,feasible,202.0,202,1,0.137
