algo_id,run_id,status,objective,items,aisles,exec_time
aisle_first_useful,3,feasible,115.4,577,5,0.11
aisle_first_useful,1,feasible,115.4,577,5,0.136
aisle_first_useful,2,feasible,115.4,577,5,0.128
aisle_first_useful,4,feasible,115.4,577,5,0.108
aisle_first_units,1,feasible,85.625,685,8,0.127
aisle_first_useful,5,feasible,115.4,577,5,0.167
aisle_first_units,2,feasible,85.625,685,8,0.115
aisle_first_units,3,feasible,85.625,685,8,0.141
aisle_first_variety,1,feasible,109.6,548,5,0.11
aisle_first_units,5,feasible,85.625,685,8,0.126
aisle_first_variety,2,feasible,109.6,548,5,0.08
aisle_first_units,4,feasible,85.625,685,8,0.134
aisle_first_variety,3,feasible,109.6,548,5,0.08
aisle_first_variety,5,feasible,109.6,548,5,0.154
aisle_first_variety,4,feasible,109.6,548,5,0.132
aisle_first_mixed,1,feasible,109.0,545,5,0.133
aisle_first_mixed,2,feasible,109.0,545,5,0.119
aisle_first_mixed,4,feasible,109.0,545,5,0.124
aisle_first_mixed,5,feasible,109.0,545,5,0.108
aisle_first_mixed,3,feasible,109.0,545,5,0.133
