algo_id,run_id,status,objective,items,aisles,exec_time
simple_desc_exact,1,feasible,12.80167597765363,4583,358,0.126086
simple_desc_exact,3,feasible,12.80167597765363,4583,358,0.136785
simple_desc_exact,5,feasible,12.80167597765363,4583,358,0.128171
simple_desc_exact,2,feasible,12.80167597765363,4583,358,0.187442
simple_desc_exact,4,feasible,12.80167597765363,4583,358,0.195786
simple_desc_multi,2,feasible,12.80167597765363,4583,358,0.750887
simple_desc_multi,1,feasible,12.80167597765363,4583,358,0.802976
simple_desc_multi,3,feasible,12.80167597765363,4583,358,1.01073
simple_desc_multi,5,feasible,12.80167597765363,4583,358,0.988745
simple_desc_multi,4,feasible,12.80167597765363,4583,358,1.0306
aisle_first_useful,1,feasible,107.85714285714286,1510,14,0.166124
aisle_first_useful,2,feasible,107.85714285714286,1510,14,0.162697
aisle_first_useful,4,feasible,107.85714285714286,1510,14,0.122573
aisle_first_useful,3,feasible,107.85714285714286,1510,14,0.174919
aisle_first_useful,5,feasible,107.85714285714286,1510,14,0.122512
aisle_first_units,1,feasible,66.20833333333333,1589,24,0.232808
aisle_first_units,2,feasible,66.20833333333333,1589,24,0.239192
aisle_first_units,3,feasible,66.20833333333333,1589,24,0.178431
aisle_first_variety,1,feasible,94.625,1514,16,0.131882
aisle_first_units,4,feasible,66.20833333333333,1589,24,0.238757
aisle_first_units,5,feasible,66.20833333333333,1589,24,0.268376
aisle_first_variety,2,feasible,94.625,1514,16,0.160376
aisle_first_variety,3,feasible,94.625,1514,16,0.139674
aisle_first_variety,4,feasible,94.625,1514,16,0.190038
aisle_first_mixed,1,feasible,102.13333333333334,1532,15,0.120461
aisle_first_variety,5,feasible,94.625,1514,16,0.180801
aisle_first_mixed,2,feasible,102.13333333333334,1532,15,0.139104
aisle_first_mixed,3,feasible,102.13333333333334,1532,15,0.150884
aisle_first_mixed,4,feasible,102.13333333333334,1532,15,0.163365
aisle_first_mixed,5,feasible,102.13333333333334,1532,15,0.181743
simple_desc_simple,1,feasible,12.730555555555556,4583,360,2.87633
simple_desc_simple,3,feasible,12.730555555555556,4583,360,2.9261
simple_desc_simple,4,feasible,12.730555555555556,4583,360,2.83184
simple_desc_simple,2,feasible,12.730555555555556,4583,360,3.88603
simple_desc_simple,5,feasible,12.730555555555556,4583,360,3.77017
