Dataset,Instancia,Algoritmo,Runs,Gap media + DP,Tempo media + DP
a,instance_0002,simple_diff_weighted_simple_most_shared,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_weighted_simple_random,5,0.1000 +- 0.2236,0.0003 +- 0.0005
a,instance_0002,simple_diff_weighted_simple_smaller,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_random_multi,5,0.4000 +- 0.2236,0.0001 +- 0.0002
a,instance_0002,simple_random_simple,5,0.4000 +- 0.2236,0.0001 +- 0.0000
a,instance_0002,simple_similar_multi_bigger,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_multi_most_shared,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_multi_random,5,0.3000 +- 0.2739,0.0001 +- 0.0000
a,instance_0002,simple_similar_multi_smaller,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_simple_bigger,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_simple_most_shared,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_simple_random,5,0.3000 +- 0.2739,0.0001 +- 0.0000
a,instance_0002,simple_similar_simple_smaller,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_weighted_multi_bigger,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_weighted_multi_most_shared,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_weighted_multi_random,5,0.3000 +- 0.2739,0.0001 +- 0.0000
a,instance_0002,simple_similar_weighted_multi_smaller,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_weighted_simple_bigger,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_weighted_simple_most_shared,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_weighted_simple_random,5,0.3000 +- 0.2739,0.0004 +- 0.0005
a,instance_0002,simple_similar_weighted_simple_smaller,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0003,simple_asc_multi,5,0.7719 +- 0.0000,0.0043 +- 0.0032
a,instance_0003,simple_asc_simple,5,0.7886 +- 0.0000,0.0056 +- 0.0015
a,instance_0003,simple_desc_multi,5,0.5794 +- 0.0000,0.0012 +- 0.0005
a,instance_0003,simple_desc_simple,5,0.6159 +- 0.0000,0.0028 +- 0.0010
a,instance_0003,simple_diff_multi_bigger,5,0.7323 +- 0.0000,0.0026 +- 0.0008
a,instance_0003,simple_diff_multi_most_shared,5,0.7569 +- 0.0000,0.0025 +- 0.0012
a,instance_0003,simple_diff_multi_random,5,0.7380 +- 0.0053,0.0043 +- 0.0021
a,instance_0003,simple_diff_multi_smaller,5,0.7546 +- 0.0000,0.0037 +- 0.0018
a,instance_0003,simple_diff_simple_bigger,5,0.7675 +- 0.0000,0.0049 +- 0.0025
a,instance_0003,simple_diff_simple_most_shared,5,0.7866 +- 0.0000,0.0051 +- 0.0030
a,instance_0003,simple_diff_simple_random,5,0.7695 +- 0.0056,0.0045 +- 0.0018
a,instance_0003,simple_diff_simple_smaller,5,0.7792 +- 0.0000,0.0041 +- 0.0011
a,instance_0003,simple_diff_weighted_multi_bigger,5,0.7323 +- 0.0000,0.0023 +- 0.0022
a,instance_0003,simple_diff_weighted_multi_most_shared,5,0.7569 +- 0.0000,0.0020 +- 0.0016
a,instance_0003,simple_diff_weighted_multi_random,5,0.7380 +- 0.0053,0.0015 +- 0.0008
a,instance_0003,simple_diff_weighted_multi_smaller,5,0.7546 +- 0.0000,0.0032 +- 0.0016
a,instance_0003,simple_diff_weighted_simple_bigger,5,0.7675 +- 0.0000,0.0044 +- 0.0040
a,instance_0003,simple_diff_weighted_simple_most_shared,5,0.7866 +- 0.0000,0.0029 +- 0.0006
a,instance_0003,simple_diff_weighted_simple_random,5,0.7695 +- 0.0056,0.0056 +- 0.0050
a,instance_0003,simple_diff_weighted_simple_smaller,5,0.7792 +- 0.0000,0.0078 +- 0.0055
a,instance_0003,simple_random_multi,5,0.7236 +- 0.0109,0.0016 +- 0.0009
a,instance_0003,simple_random_simple,5,0.7471 +- 0.0131,0.0048 +- 0.0018
a,instance_0003,simple_similar_multi_bigger,5,0.7323 +- 0.0000,0.0020 +- 0.0014
a,instance_0003,simple_similar_multi_most_shared,5,0.7426 +- 0.0000,0.0024 +- 0.0012
a,instance_0003,simple_similar_multi_random,5,0.7388 +- 0.0099,0.0022 +- 0.0015
a,instance_0003,simple_similar_multi_smaller,5,0.7426 +- 0.0000,0.0017 +- 0.0008
a,instance_0003,simple_similar_simple_bigger,5,0.7613 +- 0.0000,0.0040 +- 0.0026
a,instance_0003,simple_similar_simple_most_shared,5,0.7756 +- 0.0000,0.0044 +- 0.0011
a,instance_0003,simple_similar_simple_random,5,0.7664 +- 0.0105,0.0045 +- 0.0026
a,instance_0003,simple_similar_simple_smaller,5,0.7756 +- 0.0000,0.0039 +- 0.0019
a,instance_0003,simple_similar_weighted_multi_bigger,5,0.7323 +- 0.0000,0.0015 +- 0.0010
a,instance_0003,simple_similar_weighted_multi_most_shared,5,0.7426 +- 0.0000,0.0016 +- 0.0008
a,instance_0003,simple_similar_weighted_multi_random,5,0.7388 +- 0.0099,0.0025 +- 0.0020
a,instance_0003,simple_similar_weighted_multi_smaller,5,0.7426 +- 0.0000,0.0034 +- 0.0028
a,instance_0003,simple_similar_weighted_simple_bigger,5,0.7613 +- 0.0000,0.0070 +- 0.0033
a,instance_0003,simple_similar_weighted_simple_most_shared,5,0.7756 +- 0.0000,0.0057 +- 0.0026
a,instance_0003,simple_similar_weighted_simple_random,5,0.7664 +- 0.0105,0.0074 +- 0.0031
a,instance_0003,simple_similar_weighted_simple_smaller,5,0.7756 +- 0.0000,0.0083 +- 0.0025
a,instance_0004,simple_asc_multi,5,0.5325 +- 0.0000,0.0002 +- 0.0000
a,instance_0004,simple_asc_simple,5,0.5102 +- 0.0000,0.0007 +- 0.0005
a,instance_0004,simple_desc_multi,5,0.3985 +- 0.0000,0.0002 +- 0.0000
a,instance_0004,simple_desc_simple,5,0.3985 +- 0.0000,0.0004 +- 0.0000
a,instance_0004,simple_diff_multi_bigger,5,0.3985 +- 0.0000,0.0010 +- 0.0017
a,instance_0004,simple_diff_multi_most_shared,5,0.5404 +- 0.0000,0.0003 +- 0.0001
a,instance_0004,simple_diff_multi_random,5,0.4810 +- 0.0527,0.0004 +- 0.0003
a,instance_0004,simple_diff_multi_smaller,5,0.5155 +- 0.0000,0.0004 +- 0.0003
a,instance_0004,simple_diff_simple_bigger,5,0.4286 +- 0.0000,0.0008 +- 0.0006
a,instance_0004,simple_diff_simple_most_shared,5,0.5595 +- 0.0000,0.0005 +- 0.0000
a,instance_0004,simple_diff_simple_random,5,0.5164 +- 0.0516,0.0006 +- 0.0002
a,instance_0004,simple_diff_simple_smaller,5,0.5543 +- 0.0000,0.0005 +- 0.0001
a,instance_0004,simple_diff_weighted_multi_bigger,5,0.3985 +- 0.0000,0.0007 +- 0.0011
a,instance_0004,simple_diff_weighted_multi_most_shared,5,0.5404 +- 0.0000,0.0003 +- 0.0000
a,instance_0004,simple_diff_weighted_multi_random,5,0.4810 +- 0.0527,0.0020 +- 0.0034
a,instance_0004,simple_diff_weighted_multi_smaller,5,0.5155 +- 0.0000,0.0004 +- 0.0003
a,instance_0004,simple_diff_weighted_simple_bigger,5,0.4286 +- 0.0000,0.0006 +- 0.0002
a,instance_0004,simple_diff_weighted_simple_most_shared,5,0.5595 +- 0.0000,0.0005 +- 0.0001
a,instance_0004,simple_diff_weighted_simple_random,5,0.5164 +- 0.0516,0.0014 +- 0.0018
a,instance_0004,simple_diff_weighted_simple_smaller,5,0.5543 +- 0.0000,0.0016 +- 0.0022
a,instance_0004,simple_random_multi,5,0.4252 +- 0.0670,0.0002 +- 0.0000
a,instance_0004,simple_random_simple,5,0.4716 +- 0.0420,0.0005 +- 0.0001
a,instance_0004,simple_similar_multi_bigger,5,0.4694 +- 0.0000,0.0002 +- 0.0000
a,instance_0004,simple_similar_multi_most_shared,5,0.4694 +- 0.0000,0.0003 +- 0.0000
a,instance_0004,simple_similar_multi_random,5,0.4716 +- 0.0050,0.0003 +- 0.0000
a,instance_0004,simple_similar_multi_smaller,5,0.4694 +- 0.0000,0.0008 +- 0.0008
a,instance_0004,simple_similar_simple_bigger,5,0.5155 +- 0.0000,0.0011 +- 0.0009
a,instance_0004,simple_similar_simple_most_shared,5,0.5155 +- 0.0000,0.0007 +- 0.0005
a,instance_0004,simple_similar_simple_random,5,0.5172 +- 0.0037,0.0012 +- 0.0015
a,instance_0004,simple_similar_simple_smaller,5,0.5155 +- 0.0000,0.0007 +- 0.0003
a,instance_0004,simple_similar_weighted_multi_bigger,5,0.4694 +- 0.0000,0.0006 +- 0.0007
a,instance_0004,simple_similar_weighted_multi_most_shared,5,0.4694 +- 0.0000,0.0003 +- 0.0001
a,instance_0004,simple_similar_weighted_multi_random,5,0.4716 +- 0.0050,0.0002 +- 0.0000
a,instance_0004,simple_similar_weighted_multi_smaller,5,0.4694 +- 0.0000,0.0002 +- 0.0000
a,instance_0004,simple_similar_weighted_simple_bigger,5,0.5155 +- 0.0000,0.0014 +- 0.0012
a,instance_0004,simple_similar_weighted_simple_most_shared,5,0.5155 +- 0.0000,0.0007 +- 0.0002
a,instance_0004,simple_similar_weighted_simple_random,5,0.5172 +- 0.0037,0.0008 +- 0.0006
a,instance_0004,simple_similar_weighted_simple_smaller,5,0.5155 +- 0.0000,0.0019 +- 0.0017
a,instance_0005,simple_asc_multi,5,0.8248 +- 0.0000,0.1415 +- 0.0280
a,instance_0005,simple_asc_simple,5,0.8248 +- 0.0000,0.5091 +- 0.0914
a,instance_0005,simple_desc_multi,5,0.8023 +- 0.0000,0.0857 +- 0.0292
a,instance_0005,simple_desc_simple,5,0.8070 +- 0.0000,0.2271 +- 0.0304
a,instance_0005,simple_diff_multi_bigger,5,0.8210 +- 0.0000,0.1035 +- 0.0319
a,instance_0005,simple_diff_multi_most_shared,5,0.8210 +- 0.0000,0.1043 +- 0.0124
a,instance_0005,simple_diff_multi_random,5,0.8210 +- 0.0000,0.1174 +- 0.0361
a,instance_0005,simple_diff_multi_smaller,5,0.8210 +- 0.0000,0.0913 +- 0.0177
a,instance_0005,simple_diff_simple_bigger,5,0.8223 +- 0.0000,0.2850 +- 0.0530
a,instance_0005,simple_diff_simple_most_shared,5,0.8222 +- 0.0000,0.3412 +- 0.0486
a,instance_0005,simple_diff_simple_random,5,0.8223 +- 0.0000,0.3484 +- 0.0586
a,instance_0005,simple_diff_simple_smaller,5,0.8223 +- 0.0000,0.2664 +- 0.0251
a,instance_0005,simple_diff_weighted_multi_bigger,5,0.8210 +- 0.0000,0.0982 +- 0.0317
a,instance_0005,simple_diff_weighted_multi_most_shared,5,0.8210 +- 0.0000,0.0968 +- 0.0165
a,instance_0005,simple_diff_weighted_multi_random,5,0.8210 +- 0.0000,0.1036 +- 0.0242
