algo_id,run_id,status,objective,items,aisles,exec_time
aisle_first_useful,1,feasible,11.25,45,4,0.231
aisle_first_useful,2,feasible,11.25,45,4,0.09
aisle_first_useful,5,feasible,11.25,45,4,0.068
aisle_first_useful,3,feasible,11.25,45,4,0.129
aisle_first_units,2,feasible,11.25,45,4,0.15
aisle_first_units,1,feasible,11.25,45,4,0.126
aisle_first_units,3,feasible,11.25,45,4,0.094
aisle_first_useful,4,feasible,11.25,45,4,0.144
aisle_first_units,5,feasible,11.25,45,4,0.105
aisle_first_variety,1,feasible,11.25,45,4,0.083
aisle_first_units,4,feasible,11.25,45,4,0.154
aisle_first_variety,2,feasible,11.25,45,4,0.112
aisle_first_variety,3,feasible,11.25,45,4,0.077
aisle_first_variety,4,feasible,11.25,45,4,0.091
aisle_first_variety,5,feasible,11.25,45,4,0.09
aisle_first_mixed,4,feasible,11.25,45,4,0.066
aisle_first_mixed,1,feasible,11.25,45,4,0.168
aisle_first_mixed,5,feasible,11.25,45,4,0.079
aisle_first_mixed,3,feasible,11.25,45,4,0.147
aisle_first_mixed,2,feasible,11.25,45,4,0.162
