algo_id,run_id,status,objective,items,aisles,exec_time
aisle_first_useful,2,feasible,36.5,73,2,0.063
aisle_first_useful,3,feasible,36.5,73,2,0.06
aisle_first_useful,1,feasible,36.5,73,2,0.126
aisle_first_useful,4,feasible,36.5,73,2,0.098
aisle_first_useful,5,feasible,36.5,73,2,0.063
aisle_first_units,1,feasible,15.875,127,8,0.059
aisle_first_units,3,feasible,15.875,127,8,0.066
aisle_first_units,2,feasible,15.875,127,8,0.112
aisle_first_units,4,feasible,15.875,127,8,0.054
aisle_first_variety,3,feasible,36.5,73,2,0.088
aisle_first_variety,4,feasible,36.5,73,2,0.089
aisle_first_variety,5,feasible,36.5,73,2,0.059
aisle_first_units,5,feasible,15.875,127,8,0.121
aisle_first_mixed,1,feasible,34.5,69,2,0.084
aisle_first_mixed,2,feasible,34.5,69,2,0.087
aisle_first_variety,2,feasible,36.5,73,2,0.071
aisle_first_variety,1,feasible,36.5,73,2,0.113
aisle_first_mixed,5,feasible,34.5,69,2,0.112
aisle_first_mixed,4,feasible,34.5,69,2,0.099
aisle_first_mixed,3,feasible,34.5,69,2,0.13
