algo_id,run_id,status,objective,items,aisles,exec_time
aisle_first_useful,1,feasible,4.5,9,2,0.066
aisle_first_useful,2,feasible,4.5,9,2,0.065
aisle_first_useful,3,feasible,4.5,9,2,0.065
aisle_first_useful,5,feasible,4.5,9,2,0.054
aisle_first_useful,4,feasible,4.5,9,2,0.072
aisle_first_units,2,feasible,4.5,9,2,0.074
aisle_first_units,1,feasible,4.5,9,2,0.07
aisle_first_units,3,feasible,4.5,9,2,0.058
aisle_first_units,5,feasible,4.5,9,2,0.058
aisle_first_units,4,feasible,4.5,9,2,0.067
aisle_first_variety,1,feasible,4.5,9,2,0.059
aisle_first_variety,3,feasible,4.5,9,2,0.065
aisle_first_variety,2,feasible,4.5,9,2,0.072
aisle_first_variety,4,feasible,4.5,9,2,0.054
aisle_first_variety,5,feasible,4.5,9,2,0.088
aisle_first_mixed,3,feasible,4.5,9,2,0.05
aisle_first_mixed,2,feasible,4.5,9,2,0.065
aisle_first_mixed,1,feasible,4.5,9,2,0.067
aisle_first_mixed,5,feasible,4.5,9,2,0.051
aisle_first_mixed,4,feasible,4.5,9,2,0.053
