algo_id,run_id,status,objective,items,aisles,exec_time
aisle_first_useful,1,feasible,115.4,577,5,0.124
aisle_first_useful,2,feasible,115.4,577,5,0.189
aisle_first_useful,5,feasible,115.4,577,5,0.104
aisle_first_units,3,feasible,85.625,685,8,0.082
aisle_first_units,1,feasible,85.625,685,8,0.143
aisle_first_useful,4,feasible,115.4,577,5,0.173
aisle_first_useful,3,feasible,115.4,577,5,0.161
aisle_first_units,2,feasible,85.625,685,8,0.118
aisle_first_variety,1,feasible,109.6,548,5,0.072
aisle_first_units,5,feasible,85.625,685,8,0.123
aisle_first_units,4,feasible,85.625,685,8,0.117
aisle_first_variety,3,feasible,109.6,548,5,0.09
aisle_first_variety,2,feasible,109.6,548,5,0.12
aisle_first_variety,4,feasible,109.6,548,5,0.104
aisle_first_variety,5,feasible,109.6,548,5,0.104
aisle_first_mixed,4,feasible,109.0,545,5,0.16
aisle_first_mixed,1,feasible,109.0,545,5,0.187
aisle_first_mixed,2,feasible,109.0,545,5,0.131
aisle_first_mixed,3,feasible,109.0,545,5,0.147
aisle_first_mixed,5,feasible,109.0,545,5,0.128
