algo_id,run_id,status,objective,items,aisles,exec_time
aisle_first_useful,4,feasible,107.85714285714286,1510,14,0.288
aisle_first_useful,1,feasible,107.85714285714286,1510,14,0.437
aisle_first_useful,2,feasible,107.85714285714286,1510,14,0.504
aisle_first_units,3,feasible,75.66666666666667,1589,21,0.336
aisle_first_useful,3,feasible,107.85714285714286,1510,14,0.484
aisle_first_units,1,feasible,75.66666666666667,1589,21,0.507
aisle_first_units,2,feasible,75.66666666666667,1589,21,0.542
aisle_first_useful,5,feasible,107.85714285714286,1510,14,0.343
aisle_first_units,5,feasible,75.66666666666667,1589,21,0.519
aisle_first_variety,3,feasible,94.625,1514,16,0.334
aisle_first_variety,1,feasible,94.625,1514,16,0.504
aisle_first_variety,2,feasible,94.625,1514,16,0.404
aisle_first_mixed,1,feasible,102.13333333333334,1532,15,0.325
aisle_first_units,4,feasible,75.66666666666667,1589,21,0.791
aisle_first_variety,5,feasible,94.625,1514,16,0.365
aisle_first_variety,4,feasible,94.625,1514,16,0.458
aisle_first_mixed,2,feasible,102.13333333333334,1532,15,0.426
aisle_first_mixed,5,feasible,102.13333333333334,1532,15,0.299
aisle_first_mixed,3,feasible,102.13333333333334,1532,15,0.439
aisle_first_mixed,4,feasible,102.13333333333334,1532,15,0.443
