algo_id,run_id,status,objective,items,aisles,exec_time
aisle_first_useful,1,feasible,202.0,202,1,0.124
aisle_first_useful,2,feasible,202.0,202,1,0.122
aisle_first_useful,3,feasible,202.0,202,1,0.145
aisle_first_useful,5,feasible,202.0,202,1,0.123
aisle_first_useful,4,feasible,202.0,202,1,0.145
aisle_first_units,1,feasible,202.0,202,1,0.077
aisle_first_units,2,feasible,202.0,202,1,0.129
aisle_first_units,4,feasible,202.0,202,1,0.094
aisle_first_units,5,feasible,202.0,202,1,0.062
aisle_first_units,3,feasible,202.0,202,1,0.117
aisle_first_variety,1,feasible,202.0,202,1,0.119
aisle_first_variety,2,feasible,202.0,202,1,0.077
aisle_first_variety,4,feasible,202.0,202,1,0.095
aisle_first_variety,3,feasible,202.0,202,1,0.112
aisle_first_variety,5,feasible,202.0,202,1,0.086
aisle_first_mixed,1,feasible,202.0,202,1,0.124
aisle_first_mixed,3,feasible,202.0,202,1,0.079
aisle_first_mixed,2,feasible,202.0,202,1,0.141
aisle_first_mixed,5,feasible,202.0,202,1,0.077
aisle_first_mixed,4,feasible,202.0,202,1,0.081
