algo_id,run_id,status,objective,items,aisles,exec_time
aisle_first_useful,1,feasible,36.5,73,2,0.084
aisle_first_useful,2,feasible,36.5,73,2,0.089
aisle_first_useful,3,feasible,36.5,73,2,0.098
aisle_first_useful,5,feasible,36.5,73,2,0.087
aisle_first_useful,4,feasible,36.5,73,2,0.069
aisle_first_units,1,feasible,15.875,127,8,0.098
aisle_first_units,2,feasible,15.875,127,8,0.057
aisle_first_units,3,feasible,15.875,127,8,0.092
aisle_first_units,4,feasible,15.875,127,8,0.074
aisle_first_units,5,feasible,15.875,127,8,0.079
aisle_first_variety,2,feasible,36.5,73,2,0.07
aisle_first_variety,3,feasible,36.5,73,2,0.076
aisle_first_variety,4,feasible,36.5,73,2,0.068
aisle_first_variety,1,feasible,36.5,73,2,0.137
aisle_first_mixed,2,feasible,34.5,69,2,0.064
aisle_first_variety,5,feasible,36.5,73,2,0.095
aisle_first_mixed,1,feasible,34.5,69,2,0.084
aisle_first_mixed,3,feasible,34.5,69,2,0.115
aisle_first_mixed,4,feasible,34.5,69,2,0.072
aisle_first_mixed,5,feasible,34.5,69,2,0.117
