algo_id,run_id,seed,status,objective,items,aisles,exec_time
gvns_at001_ps010_li8000,1,95933,feasible,162.94117647058823,2770,17,600.817
gvns_at001_ps020_li5000,1,95933,feasible,162.94117647058823,2770,17,600.953
gvns_at001_ps020_li8000,1,95933,feasible,162.94117647058823,2770,17,600.977
gvns_at001_ps020_li12000,1,95933,feasible,162.94117647058823,2770,17,601.224
gvns_at005_ps010_li12000,1,95933,feasible,162.94117647058823,2770,17,601.159
gvns_at001_ps010_li2000,1,95933,feasible,162.94117647058823,2770,17,601.107
gvns_at001_ps020_li2000,1,95933,feasible,162.94117647058823,2770,17,601.272
gvns_at005_ps010_li5000,1,95933,feasible,162.94117647058823,2770,17,601.09
gvns_at001_ps010_li5000,1,95933,feasible,162.94117647058823,2770,17,601.329
gvns_at005_ps010_li8000,1,95933,feasible,162.94117647058823,2770,17,601.205
gvns_at005_ps010_li2000,1,95933,feasible,162.8235294117647,2768,17,601.531
gvns_at001_ps010_li12000,1,95933,feasible,162.94117647058823,2770,17,601.49
gvns_at005_ps020_li5000,1,95933,feasible,162.94117647058823,2770,17,600.643
gvns_at005_ps020_li12000,1,95933,feasible,162.94117647058823,2770,17,600.469
gvns_at005_ps020_li2000,1,95933,feasible,162.8235294117647,2768,17,601.086
gvns_at010_ps010_li5000,1,95933,feasible,162.94117647058823,2770,17,601.017
gvns_at005_ps020_li8000,1,95933,feasible,162.94117647058823,2770,17,601.245
gvns_at010_ps020_li2000,1,95933,feasible,162.94117647058823,2770,17,600.79
gvns_at010_ps010_li8000,1,95933,feasible,162.94117647058823,2770,17,601.138
gvns_at010_ps020_li5000,1,95933,feasible,162.94117647058823,2770,17,601.008
gvns_at010_ps010_li2000,1,95933,feasible,162.94117647058823,2770,17,601.234
gvns_at010_ps010_li12000,1,95933,feasible,162.94117647058823,2770,17,600.976
gvns_at010_ps020_li12000,1,95933,feasible,162.94117647058823,2770,17,600.749
gvns_at010_ps020_li8000,1,95933,feasible,162.94117647058823,2770,17,601.056
gvns_at001_ps010_li2000,2,63700,feasible,162.94117647058823,2770,17,600.392
gvns_at001_ps010_li5000,2,63700,feasible,162.94117647058823,2770,17,600.75
gvns_at001_ps010_li8000,2,63700,feasible,162.94117647058823,2770,17,600.644
gvns_at001_ps020_li12000,2,63700,feasible,162.94117647058823,2770,17,600.616
gvns_at001_ps020_li5000,2,63700,feasible,162.94117647058823,2770,17,600.904
gvns_at001_ps020_li2000,2,63700,feasible,162.94117647058823,2770,17,600.979
gvns_at001_ps010_li12000,2,63700,feasible,162.94117647058823,2770,17,600.887
gvns_at001_ps020_li8000,2,63700,feasible,162.94117647058823,2770,17,601.067
gvns_at005_ps010_li5000,2,63700,feasible,162.94117647058823,2770,17,601.018
gvns_at005_ps010_li2000,2,63700,feasible,162.94117647058823,2770,17,601.06
gvns_at005_ps010_li8000,2,63700,feasible,162.94117647058823,2770,17,601.011
gvns_at005_ps010_li12000,2,63700,feasible,162.94117647058823,2770,17,600.91
gvns_at005_ps020_li2000,2,63700,feasible,162.94117647058823,2770,17,600.448
gvns_at005_ps020_li5000,2,63700,feasible,162.94117647058823,2770,17,600.695
gvns_at005_ps020_li8000,2,63700,feasible,162.94117647058823,2770,17,600.532
gvns_at010_ps010_li2000,2,63700,feasible,162.94117647058823,2770,17,600.679
gvns_at010_ps010_li12000,2,63700,feasible,162.94117647058823,2770,17,600.69
gvns_at010_ps020_li5000,2,63700,feasible,162.94117647058823,2770,17,600.608
gvns_at005_ps020_li12000,2,63700,feasible,162.94117647058823,2770,17,601.367
gvns_at010_ps020_li8000,2,63700,feasible,162.94117647058823,2770,17,600.673
gvns_at010_ps010_li8000,2,63700,feasible,162.94117647058823,2770,17,601.38
gvns_at010_ps010_li5000,2,63700,feasible,162.94117647058823,2770,17,601.463
gvns_at010_ps020_li2000,2,63700,feasible,162.94117647058823,2770,17,601.238
gvns_at010_ps020_li12000,2,63700,feasible,162.94117647058823,2770,17,601.09
